OBJECTID,shape_id,route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_type_text,Shape__Length
38,119439,15667,4,Moreland Avenue,,3,https://itsmarta.com/4.aspx,FF00FF,,Bus,0.101165537169285
39,119440,15668,5,Piedmont Road / Sandy Springs,,3,https://itsmarta.com/5.aspx,00FFFF,,Bus,0.151614185821924
40,119441,15676,21,Memorial Drive,,3,https://itsmarta.com/21.aspx,FF00FF,,Bus,0.0691961310002173
41,119442,15689,47,I-85 Access Road,,3,https://itsmarta.com/47.aspx,FF8080,,Bus,0.139488349363378
42,119443,15698,71,Cascade Road,,3,https://itsmarta.com/71.aspx,FF8080,,Bus,0.135627245083359
43,119444,15727,121,Memorial Drive / N Hairston Road,,3,https://itsmarta.com/121.aspx,00FFFF,,Bus,0.075490367551886
44,119445,15743,165,Fairburn Road,,3,https://itsmarta.com/165.aspx,00FFFF,,Bus,0.119759941780278
45,119446,15753,191,Riverdale / ATL Intl Terminal,,3,https://itsmarta.com/191.aspx,FF00FF,,Bus,0.402298791177793
46,119447,15673,14,14th Street / Blandtown,,3,https://itsmarta.com/14.aspx,00FF00,,Bus,0.101813284774201
47,119448,15723,116,Redan Road,,3,https://itsmarta.com/116.aspx,00FFFF,,Bus,0.197465785130662
48,119449,15779,853,Center Hill,,3,https://itsmarta.com/853.aspx,A6CAF0,,Bus,0.130192510278621
49,119451,15674,15,Candler Road,,3,https://itsmarta.com/15.aspx,00FF00,,Bus,0.203538264151389
50,119452,15680,27,Cheshire Bridge Road,,3,https://itsmarta.com/27.aspx,FF0080,,Bus,0.0924906541161103
